group,current_high_count,mae,rmse,r2
B1,172,6.5384411054107785,9.769251590015852,0.9548456459764892
B1,174,6.465403579929594,9.714255921050485,0.9553463441290317
B1,176,6.416654444680096,9.667456008469511,0.9557728021316233
B1,178,6.389835748110622,9.649989996514268,0.9559336360458863
B1,180,6.345335847844847,9.629790427241158,0.9561101681219191
B1,182,6.305836194917675,9.609278860815417,0.9562912582251333
B1,184,6.270597384782711,9.585525836690882,0.9565009928921093
B1,186,6.190845433454405,9.503881604002032,0.9572325655010567
B1,188,6.148909899584991,9.459478871792676,0.9576256871865828
B1,190,6.11091580922856,9.425498718481292,0.957923661833903
B1,192,6.070327556923236,9.404010415462036,0.9581089826824372
B1,194,6.050272695393147,9.39302593819028,0.95820846016109
B1,196,6.019728287544092,9.389023050722365,0.9582436404993606
B1,198,5.987790236605989,9.36677116420985,0.9584390844574655
B1,200,5.961868530901153,9.34505990182458,0.9586361968635547
B2,40,7.6349057671172655,10.08827497507348,0.9518729510565531
B2,42,7.5927920630228245,10.008242890886892,0.9526232310293017
B2,44,7.581087183390721,9.986670982881398,0.9528111079329713
B2,46,7.561819414669294,9.950602583701171,0.9531462537117313
B2,48,7.560699861292795,9.950087305525523,0.9531219312090782
B2,50,7.569637688341115,9.967127760030957,0.9529520060570936
B2,52,7.546191865777386,9.921582776361216,0.9533886575120759
B2,54,7.545373469927448,9.917008256695762,0.953440592687263
B2,56,7.532089995614063,9.892219380593147,0.9536737240822873
B2,58,7.536289361350529,9.899704193338476,0.9535940458660634
B2,60,7.519792805584226,9.869774462932966,0.9538686795061462
B2,62,7.514000164457964,9.859454235314558,0.9539619728104114
B2,64,7.49563329155786,9.824862164784099,0.9542765244270877
B2,66,7.487087589658034,9.807624519911752,0.954429443889509
B2,68,7.475402624175506,9.784931767672765,0.9546248941442077
B2,70,7.455302137686506,9.746769033559636,0.954986794557148
B2,72,7.451279460839004,9.741368674261963,0.9550181629197757
B2,74,7.45199796049838,9.742885379460592,0.9550054164636554
B2,76,7.454698047061129,9.747974236263062,0.9549540713907188
B2,78,7.4566358152043195,9.750405248658856,0.9549405792627403
B2,80,7.447602863516662,9.733695802107004,0.9550981246182794
B2,82,7.4366093147220855,9.71257290347551,0.9552980436635619
B2,84,7.427051977213371,9.69435872249444,0.9554766249430777
B2,86,7.4227985089281585,9.6852591487221,0.955575468751927
B2,88,7.424346543208482,9.688072230432919,0.955543306652209
B2,90,7.426328685300113,9.691314833430656,0.9555092543256516
B2,92,7.426137360474534,9.692064383401657,0.9554996532027167
B2,94,7.41812006385788,9.677261954325644,0.955640925114913
B2,96,7.414385849748156,9.6698112407666,0.9557230492463429
B2,98,7.418144355294421,9.674947951282068,0.95568293039487
B2,100,7.408175302392806,9.656789730730369,0.9558472288446008
B2,102,7.401053911218239,9.641762044438114,0.9559872071180786
B2,104,7.393130675458164,9.625820092009763,0.9561376134378549
B2,106,7.393239384007179,9.626600411748319,0.9561293166234488
B2,108,7.391914746013088,9.622844401707425,0.956169098437471
B2,110,7.3997620327813625,9.637858064595664,0.9560347799125269
B2,112,7.403850715804185,9.6452675139849,0.9559655564449867
B2,114,7.404655083751164,9.647568421692267,0.9559456215352421
B2,116,7.396631943489993,9.632641123014874,0.9560825941416271
B2,118,7.399923895896204,9.639396345579872,0.9560180860652995
B2,120,7.398109015141427,9.636184953731169,0.9560486866044927
B2,122,7.401176640981644,9.641435916262397,0.9560035798204842
B2,124,7.397298014603284,9.632784248540093,0.9560897396059092
B2,126,7.387056421053844,9.613043994769482,0.9562720008233733
B2,128,7.388041476374499,9.614263342454878,0.9562628259347111
B2,130,7.389994188070446,9.617531429545352,0.9562364490069992
B2,132,7.38885024966451,9.614531212986094,0.9562635691199132
B2,134,7.391144960627232,9.62031275790503,0.956205285489046
B2,136,7.381000105398385,9.600575683337064,0.9563894733473093
B2,138,7.376570385086613,9.591747233343932,0.9564711149428875
B2,140,7.374083321315266,9.58750089963645,0.9565067556886448
B2,142,7.368981050699415,9.577904903590795,0.9565900497863312
B2,144,7.368829618075177,9.577412266009507,0.9565919629245225
B2,146,7.36210304168075,9.564803690531354,0.9566983558342516
B2,148,7.354265571043709,9.548705376608101,0.956852741490561
B2,150,7.352690081228992,9.546233236025262,0.9568714914074548
B2,152,7.345432303828462,9.533351456008301,0.9569858052732686
B2,154,7.340242696310275,9.522841853281381,0.9570837776919856
B2,156,7.337154902665807,9.516122760809639,0.9571455592732081
B2,158,7.3369501021399355,9.51582948864367,0.9571453080964286
B2,160,7.338360104183749,9.518827395457544,0.9571172244951092
B2,162,7.3362856678195225,9.513992530289574,0.9571601242191834
B2,164,7.3305394798226455,9.501468941373405,0.9572812948989128
B2,166,7.326510429040548,9.492479449178353,0.9573624877835897
B2,168,7.329653709522328,9.49905153997976,0.9573029731715392
B2,170,7.3326463064729,9.506165089129938,0.9572325529943508
B2,172,7.335744816711499,9.513093507611973,0.9571649994597093
B2,174,7.334551627055117,9.509875345484947,0.9571960023972584
