group,seed,current_high_count,mae,rmse,r2,rho
B1,342,62,9.826069080944603,12.694029283138962,0.9239564209982548,1.0
B1,342,64,9.716500560028138,12.569888122667972,0.9254364834836013,1.0
B1,342,66,9.674775376058742,12.520260228444178,0.9260240981599314,1.0
B1,342,68,9.745110721117625,12.52493084870795,0.9259688951871704,1.0
B1,342,70,9.764548400567643,12.502565869130345,0.9262330444944935,1.0
B1,342,72,9.64499048452784,12.39852116118306,0.9274556936685068,1.0
B1,342,74,9.57187454656331,12.332357340519296,0.928227882786046,1.0
B1,342,76,9.569448423613034,12.325650268212854,0.9283059294829825,1.0
B1,342,78,9.419809638016117,12.192983837451825,0.9298409736471318,1.0
B1,342,80,9.390353194455159,12.141034538629901,0.930437537697776,1.0
B1,342,82,9.162600310231417,11.959061834262478,0.9325071480390256,1.0
B1,342,84,9.034156158661057,11.851869516611483,0.9337116391551555,1.0
B1,342,86,8.939083659156825,11.773711619990697,0.9345830418934045,1.0
B1,342,88,8.942336140095506,11.744256094156725,0.9349099533397436,1.0
B1,342,90,8.927018194928264,11.695640420277856,0.9354477220842894,1.0
B1,342,92,8.818775757080594,11.613812728946707,0.9363478328172791,1.0
B1,342,94,8.639458146115631,11.512240095000696,0.9374563483554246,1.0
B1,342,96,8.492098081154511,11.41601681724514,0.9384975018069089,1.0
B1,342,98,8.506506752150013,11.414547911089853,0.9385133279198982,1.0
B1,342,100,8.393320377692818,11.332956504845198,0.9393892021192514,1.0
B1,342,102,8.209349089421769,11.218829047095866,0.9406038059135908,1.0
B1,342,104,8.140193002563546,11.198712335323883,0.9408166239984925,1.0
B1,342,106,8.004911191166741,11.143047103729556,0.9414035251326194,1.0
B1,342,108,7.949288620817009,11.102149519006641,0.941832861291692,1.0
B1,342,110,7.916801497590762,11.074932094778127,0.9421177104722406,1.0
B1,342,112,7.866652875232794,11.039047309117265,0.9424922009803322,1.0
B1,342,114,7.807096149862849,10.999379992937211,0.9429047513440617,1.0
B1,342,116,7.706160886811084,10.9598292350015,0.9433146108992776,1.0
B1,342,118,7.670019955025749,10.928306094753811,0.9436402239449322,1.0
B1,342,120,7.67610877321159,10.938285183790326,0.9435372480578003,1.0
B1,342,122,7.703906669295947,10.931082047045038,0.9436115878656184,1.0
B1,342,124,7.709129158626692,10.901092000972557,0.9439205730636546,1.0
B1,342,126,7.660248878359846,10.869928610553004,0.9442407477898008,1.0
B1,342,128,7.65408271231581,10.880922361196847,0.9441279019138152,1.0
B1,342,130,7.583549171714003,10.74784554647084,0.945486208275505,1.0
B1,342,132,7.575128095941712,10.691503408002063,0.9460562524041115,1.0
B1,342,134,7.5677058315805,10.685674230942343,0.9461150583405795,1.0
B1,342,136,7.521723841894047,10.662928500262623,0.9463442152230878,1.0
B1,342,138,7.4943421439987405,10.652585021107065,0.946448261369708,1.0
B1,342,140,7.461507686650227,10.602341434001321,0.9469522303449411,1.0
B1,342,142,7.43551849366873,10.583789010530863,0.9471377183574751,1.0
