BHF,DART_MeanMAE,SF-Kriging_MeanMAE,Co-Kriging_MeanMAE,HierarchicalKriging_MeanMAE,DART_logMeanMAE,SF-Kriging_logMeanMAE,Co-Kriging_logMeanMAE,HierarchicalKriging_logMeanMAE
191,5.166852685,12.44601441,11.57906295,12.05849626,0.713226079,1.095030299,1.063673415,1.081293153
192,5.15577913,12.40946613,11.5881988,12.06654822,0.712294304,1.093753098,1.064015937,1.081583053
193,5.15577913,12.38460341,11.56243061,12.04455131,0.712294304,1.092882104,1.063049139,1.080790626
194,5.140105831,12.33939843,11.5584005,12.04186096,0.710972061,1.091293987,1.062897739,1.080693608
195,5.140105831,12.33930899,11.56859412,12.05035899,0.710972061,1.091290839,1.063280584,1.080999985
196,5.134207087,12.29778172,11.5649091,12.04450502,0.710473382,1.08982678,1.063142224,1.080788957
197,5.134207087,12.2637902,11.54552412,12.02991165,0.710473382,1.088624712,1.062413653,1.080262438
198,5.116550489,12.22910528,11.54888333,12.0318566,0.708977264,1.087394684,1.062539994,1.080332647
199,5.116550489,12.20620192,11.54958309,12.03657373,0.708977264,1.08658055,1.062566308,1.08050288
200,5.113036534,12.19216381,11.56243765,12.04574732,0.708678896,1.086080789,1.063049404,1.080833749
